time_offset, x, y, speed
244.000000,502765.979116,457820.008703,0.053980
245.000000,502765.970154,457820.012476,0.111909
246.000000,502765.967458,457820.013556,0.061104
247.000000,502765.860196,457820.081734,0.822726
248.000000,502764.827158,457821.522613,1.941477
249.000000,502763.645851,457823.705490,2.949944
250.000000,502761.836823,457826.756405,3.664467
251.000000,502759.296327,457830.068924,4.178748
252.000000,502756.344838,457834.017932,4.877099
253.000000,502753.893845,457837.993549,4.715927
254.000000,502751.138259,457842.047661,4.939589
255.000000,502748.213614,457846.145834,5.148569
256.000000,502745.178669,457850.841979,5.089106
257.000000,502742.217714,457855.163605,5.461179
258.000000,502739.132151,457860.011554,5.771276
259.000000,502736.053864,457865.007022,5.881117
260.000000,502733.011487,457870.037474,5.995671
261.000000,502729.959751,457875.077513,6.161156
262.000000,502726.857581,457880.106838,6.357895
263.000000,502723.258454,457885.248898,6.498591
264.000000,502719.864405,457890.924923,6.760958
265.000000,502716.100091,457896.877023,6.684653
266.000000,502712.870011,457901.365482,6.022803
267.000000,502709.178124,457906.875172,6.375170
268.000000,502705.967159,457912.002678,5.866464
269.000000,502703.098940,457917.038422,5.657157
270.000000,502700.760943,457922.013745,5.855065
271.000000,502698.652408,457927.003093,5.667054
272.000000,502695.989358,457932.733013,5.971011
273.000000,502693.104582,457938.065136,6.196461
274.000000,502689.568549,457943.262870,6.194234
275.000000,502686.204736,457948.253726,6.324217
276.000000,502682.422336,457953.285662,6.336542
277.000000,502678.973874,457958.885825,6.478976
278.000000,502674.520438,457964.951313,7.152313
279.000000,502670.426399,457970.325421,6.554792
280.000000,502666.457547,457975.371483,6.511328
281.000000,502662.927162,457980.891861,6.411750
282.000000,502659.216982,457986.134795,6.416463
283.000000,502656.024920,457991.192310,6.203561
284.000000,502652.888664,457996.805545,6.215082
285.000000,502649.857054,458001.981393,6.058936
286.000000,502646.295049,458007.133650,6.284818
287.000000,502643.107905,458012.186794,6.126496
288.000000,502639.369181,458017.916031,6.435766
289.000000,502636.266057,458023.102052,5.535853
290.000000,502633.303057,458028.119149,5.918551
291.000000,502630.271267,458033.167602,5.947407
292.000000,502627.055158,458038.859740,6.473324
293.000000,502623.417962,458044.199533,6.308162
294.000000,502620.087145,458049.857092,6.151397
295.000000,502617.048224,458054.333008,5.807806
296.000000,502613.991632,458059.058552,5.705865
297.000000,502610.346406,458063.989780,5.728426
298.000000,502607.154900,458068.287066,5.638171
299.000000,502604.078179,458073.029086,5.608566
300.000000,502600.531467,458077.998699,5.412342
301.000000,502597.892960,458082.801648,5.107479
302.000000,502595.181068,458087.071613,4.912103
303.000000,502591.501124,458092.002454,6.177405
304.000000,502588.178009,458096.279286,5.291868
305.000000,502585.274205,458100.247020,4.805421
306.000000,502582.195214,458104.917381,5.597597
307.000000,502579.064453,458109.900559,5.686051
308.000000,502576.096348,458114.215360,5.380376
309.000000,502573.083658,458118.944766,5.463509
310.000000,502570.074269,458123.841057,5.329479
311.000000,502567.749077,458128.017466,4.898935
312.000000,502564.423581,458132.905109,5.601422
313.000000,502561.289065,458137.241925,5.346768
314.000000,502558.094858,458141.938391,5.576138
315.000000,502554.514796,458146.313676,5.601816
316.000000,502551.145839,458151.025057,5.733856
317.000000,502548.068924,458155.252470,5.480143
318.000000,502544.980058,458159.923560,5.520077
319.000000,502541.924242,458164.813904,5.555463
320.000000,502539.033120,458169.158499,5.399082
321.000000,502536.089708,458173.942277,5.442273
322.000000,502533.220508,458178.911327,5.261556
323.000000,502530.286138,458183.935789,5.547459
324.000000,502527.254210,458189.008868,5.787534
325.000000,502524.927663,458193.306130,5.324574
326.000000,502522.101440,458198.026611,5.567564
327.000000,502519.881182,458202.194711,4.914869
328.000000,502517.140152,458206.957635,5.600743
329.000000,502514.072769,458212.663882,5.960547
330.000000,502511.131714,458217.285231,5.796517
331.000000,502508.112968,458222.125426,5.846264
332.000000,502505.010681,458227.710843,5.875421
333.000000,502502.155048,458232.257264,5.519194
334.000000,502499.199567,458237.061251,5.580312
335.000000,502496.188206,458242.034882,5.784395
336.000000,502492.482586,458247.856883,6.439445
337.000000,502489.120414,458253.067009,5.997103
338.000000,502486.103624,458257.381940,5.708234
339.000000,502483.127310,458262.104776,5.581894
340.000000,502480.188980,458266.986878,5.393884
341.000000,502476.552680,458272.081950,6.162010
342.000000,502473.205907,458277.111264,5.906881
