time_offset,timestamp,revs,distance
276.2449,1678385962.2449,1164,2409.4800
276.3265,1678385962.3265,1165,2411.5500
276.4081,1678385962.4081,1166,2413.6200
276.4897,1678385962.4897,1167,2415.6900
276.5713,1678385962.5713,1168,2417.7600
276.6530,1678385962.6530,1169,2419.8300
276.7346,1678385962.7346,1170,2421.9000
276.8162,1678385962.8162,1171,2423.9700
276.8978,1678385962.8978,1172,2426.0400
276.9794,1678385962.9794,1173,2428.1100
277.0611,1678385963.0611,1174,2430.1800
277.1330,1678385963.1330,1175,2432.2500
277.2660,1678385963.2660,1176,2434.3200
277.3990,1678385963.3990,1177,2436.3900
277.5320,1678385963.5320,1178,2438.4600
277.6650,1678385963.6650,1179,2440.5300
277.7980,1678385963.7980,1180,2442.6000
277.9310,1678385963.9310,1181,2444.6700
278.0640,1678385964.0640,1182,2446.7400
278.1313,1678385964.1313,1183,2448.8100
278.2625,1678385964.2625,1184,2450.8800
278.3938,1678385964.3938,1185,2452.9500
278.5251,1678385964.5251,1186,2455.0200
278.6563,1678385964.6563,1187,2457.0900
278.7876,1678385964.7876,1188,2459.1600
278.9189,1678385964.9189,1189,2461.2300
279.0502,1678385965.0502,1190,2463.3000
279.1575,1678385965.1575,1191,2465.3700
279.3151,1678385965.3151,1192,2467.4400
279.4726,1678385965.4726,1193,2469.5100
279.6302,1678385965.6302,1194,2471.5800
279.7877,1678385965.7877,1195,2473.6500
279.9452,1678385965.9452,1196,2475.7200
280.1028,1678385966.1028,1197,2477.7900
280.1646,1678385966.1646,1198,2479.8600
280.3291,1678385966.3291,1199,2481.9300
280.4937,1678385966.4937,1200,2484.0000
280.6583,1678385966.6583,1201,2486.0700
280.8229,1678385966.8229,1202,2488.1400
280.9874,1678385966.9874,1203,2490.2100
281.1520,1678385967.1520,1204,2492.2800
281.1928,1678385967.1928,1205,2494.3500
281.3855,1678385967.3855,1206,2496.4200
281.5783,1678385967.5783,1207,2498.4900
281.7710,1678385967.7710,1208,2500.5600
281.9638,1678385967.9638,1209,2502.6300
282.1565,1678385968.1565,1210,2504.7000
282.1690,1678385968.1690,1211,2506.7700
282.3379,1678385968.3379,1212,2508.8400
282.5069,1678385968.5069,1213,2510.9100
282.6759,1678385968.6759,1214,2512.9800
282.8449,1678385968.8449,1215,2515.0500
283.0138,1678385969.0138,1216,2517.1200
283.1613,1678385969.1613,1217,2519.1900
283.3227,1678385969.3227,1218,2521.2600
283.4840,1678385969.4840,1219,2523.3300
283.6453,1678385969.6453,1220,2525.4000
283.8067,1678385969.8067,1221,2527.4700
283.9680,1678385969.9680,1222,2529.5400
284.1293,1678385970.1293,1223,2531.6100
284.1567,1678385970.1567,1224,2533.6800
284.3134,1678385970.3134,1225,2535.7500
284.4701,1678385970.4701,1226,2537.8200
284.6268,1678385970.6268,1227,2539.8900
284.7836,1678385970.7836,1228,2541.9600
284.9403,1678385970.9403,1229,2544.0300
285.0970,1678385971.0970,1230,2546.1000
285.1559,1678385971.1559,1231,2548.1700
285.3117,1678385971.3117,1232,2550.2400
285.4676,1678385971.4676,1233,2552.3100
285.6234,1678385971.6234,1234,2554.3800
285.7793,1678385971.7793,1235,2556.4500
285.9351,1678385971.9351,1236,2558.5200
286.0910,1678385972.0910,1237,2560.5900
286.1354,1678385972.1354,1238,2562.6600
286.2709,1678385972.2709,1239,2564.7300
286.4063,1678385972.4063,1240,2566.8000
286.5417,1678385972.5417,1241,2568.8700
286.6772,1678385972.6772,1242,2570.9400
286.8126,1678385972.8126,1243,2573.0100
286.9480,1678385972.9480,1244,2575.0800
287.0834,1678385973.0834,1245,2577.1500
287.1295,1678385973.1295,1246,2579.2200
287.2589,1678385973.2589,1247,2581.2900
287.3884,1678385973.3884,1248,2583.3600
287.5178,1678385973.5178,1249,2585.4300
287.6473,1678385973.6473,1250,2587.5000
287.7767,1678385973.7767,1251,2589.5700
287.9062,1678385973.9062,1252,2591.6400
288.0356,1678385974.0356,1253,2593.7100
288.1278,1678385974.1278,1254,2595.7800
288.2556,1678385974.2556,1255,2597.8500
288.3834,1678385974.3834,1256,2599.9200
288.5112,1678385974.5112,1257,2601.9900
288.6389,1678385974.6389,1258,2604.0600
288.7667,1678385974.7667,1259,2606.1300
288.8945,1678385974.8945,1260,2608.2000
289.0223,1678385975.0223,1261,2610.2700
289.1192,1678385975.1192,1262,2612.3400
289.2385,1678385975.2385,1263,2614.4100
289.3577,1678385975.3577,1264,2616.4800
289.4770,1678385975.4770,1265,2618.5500
289.5962,1678385975.5962,1266,2620.6200
289.7155,1678385975.7155,1267,2622.6900
289.8347,1678385975.8347,1268,2624.7600
289.9540,1678385975.9540,1269,2626.8300
290.0732,1678385976.0732,1270,2628.9000
290.1424,1678385976.1424,1271,2630.9700
290.2847,1678385976.2847,1272,2633.0400
290.4271,1678385976.4271,1273,2635.1100
290.5694,1678385976.5694,1274,2637.1800
290.7118,1678385976.7118,1275,2639.2500
290.8541,1678385976.8541,1276,2641.3200
290.9965,1678385976.9965,1277,2643.3900
291.1388,1678385977.1388,1278,2645.4600
291.1611,1678385977.1611,1279,2647.5300
291.3222,1678385977.3222,1280,2649.6000
291.4834,1678385977.4834,1281,2651.6700
291.6445,1678385977.6445,1282,2653.7400
291.8056,1678385977.8056,1283,2655.8100
291.9667,1678385977.9667,1284,2657.8800
292.1278,1678385978.1278,1285,2659.9500
292.1981,1678385978.1981,1286,2662.0200
292.3963,1678385978.3963,1287,2664.0900
292.5944,1678385978.5944,1288,2666.1600
292.7926,1678385978.7926,1289,2668.2300
292.9907,1678385978.9907,1290,2670.3000
293.1889,1678385979.1889,1291,2672.3700
293.2047,1678385979.2047,1292,2674.4400
293.4095,1678385979.4095,1293,2676.5100
293.6142,1678385979.6142,1294,2678.5800
293.8190,1678385979.8190,1295,2680.6500
294.0237,1678385980.0237,1296,2682.7200
294.1512,1678385980.1512,1297,2684.7900
294.3024,1678385980.3024,1298,2686.8600
294.4537,1678385980.4537,1299,2688.9300
294.6049,1678385980.6049,1300,2691.0000
294.7561,1678385980.7561,1301,2693.0700
294.9073,1678385980.9073,1302,2695.1400
295.0585,1678385981.0585,1303,2697.2100
295.1434,1678385981.1434,1304,2699.2800
295.2869,1678385981.2869,1305,2701.3500
295.4303,1678385981.4303,1306,2703.4200
295.5738,1678385981.5738,1307,2705.4900
295.7172,1678385981.7172,1308,2707.5600
295.8606,1678385981.8606,1309,2709.6300
296.0041,1678385982.0041,1310,2711.7000
296.1239,1678385982.1239,1311,2713.7700
296.2478,1678385982.2478,1312,2715.8400
296.3718,1678385982.3718,1313,2717.9100
296.4957,1678385982.4957,1314,2719.9800
296.6196,1678385982.6196,1315,2722.0500
296.7435,1678385982.7435,1316,2724.1200
296.8674,1678385982.8674,1317,2726.1900
296.9914,1678385982.9914,1318,2728.2600
297.1153,1678385983.1153,1319,2730.3300
297.1214,1678385983.1214,1320,2732.4000
297.2428,1678385983.2428,1321,2734.4700
297.3643,1678385983.3643,1322,2736.5400
297.4857,1678385983.4857,1323,2738.6100
297.6071,1678385983.6071,1324,2740.6800
297.7285,1678385983.7285,1325,2742.7500
