time_offset, x, y, speed
99.000000,508353.669457,432645.347191,12.055857
100.000000,508355.671946,432655.935442,11.717771
101.000000,508357.595532,432666.127615,11.490539
102.000000,508358.721603,432675.551115,11.143350
103.000000,508359.411877,432684.615855,10.955942
104.000000,508359.708642,432694.167286,11.019260
105.000000,508359.290020,432704.629247,11.422346
106.000000,508358.026180,432717.363609,12.413378
107.000000,508355.838782,432729.933953,12.567270
108.000000,508353.033400,432741.042528,12.148016
109.000000,508349.922785,432752.015021,12.081986
110.000000,508346.706775,432763.613783,12.332439
111.000000,508343.580172,432774.274964,11.850128
112.000000,508340.342020,432785.599770,11.989224
113.000000,508337.126466,432797.369865,12.211773
114.000000,508333.854718,432809.315439,12.350936
115.000000,508330.587064,432820.639693,11.975381
116.000000,508326.935704,432832.288208,12.031275
117.000000,508323.057381,432843.551520,11.879233
118.000000,508319.077415,432855.206343,11.939950
119.000000,508315.788672,432866.336154,11.647069
120.000000,508312.325472,432876.771987,11.336707
121.000000,508308.877259,432885.117436,10.436051
122.000000,508305.141444,432893.664226,10.437603
123.000000,508301.167498,432901.854004,10.290081
124.000000,508298.386887,432909.054343,9.633687
125.000000,508295.099763,432916.629762,9.650841
126.000000,508292.103063,432923.228893,9.048783
127.000000,508289.707092,432929.237678,8.449240
128.000000,508287.465865,432935.613014,8.336349
129.000000,508285.715304,432939.958443,7.330466
130.000000,508284.087731,432943.247597,6.597028
131.000000,508282.471533,432948.453940,7.128735
132.000000,508280.362060,432957.184854,8.432752
133.000000,508279.766230,432960.992125,6.617016
134.000000,508279.501610,432961.549013,5.089927
135.000000,508278.992614,432961.982203,4.730266
136.000000,508278.947015,432962.462955,4.361313
137.000000,508278.679525,432962.535103,3.894330
138.000000,508278.461453,432962.971735,3.794618
139.000000,508278.449706,432961.813394,2.864674
140.000000,508277.898679,432963.530669,3.756030
141.000000,508277.175058,432965.608817,3.907924
142.000000,508276.795125,432965.807767,3.099607
143.000000,508276.540615,432966.247408,2.967092
144.000000,508276.352784,432966.949911,2.946592
145.000000,508276.340822,432965.972258,2.171624
146.000000,508276.349217,432964.742687,1.813812
147.000000,508276.818244,432961.034829,0.537048
148.000000,508277.703535,432957.353287,0.211346
149.000000,508278.180919,432955.785175,0.779467
150.000000,508278.494818,432955.266794,1.098720
151.000000,508278.956643,432953.926025,0.750310
152.000000,508279.446662,432951.526747,0.241366
153.000000,508279.642910,432948.025277,-0.356700
154.000000,508279.498438,432945.206711,-0.313649
155.000000,508279.634849,432942.344897,-0.381945
156.000000,508279.541828,432940.488105,-0.115685
157.000000,508279.599998,432939.779054,0.275109
158.000000,508279.707480,432939.557320,0.445122
159.000000,508279.888893,432937.781681,-0.135780
160.000000,508279.890191,432935.096610,-0.693836
161.000000,508279.900885,432932.686831,-0.673872
162.000000,508279.636130,432932.715706,0.102180
163.000000,508279.286857,432931.188304,-0.263280
164.000000,508278.908739,432931.018570,0.173596
165.000000,508277.566846,432924.027599,-2.015079
166.000000,508276.688431,432918.384877,-1.792029
167.000000,508276.180721,432913.813637,-1.382372
168.000000,508276.019691,432910.883175,-0.723570
169.000000,508276.196176,432910.323836,-0.102359
170.000000,508276.397744,432910.211360,0.101279
171.000000,508276.304404,432910.239116,0.520588
172.000000,508276.143387,432911.573981,1.410324
173.000000,508275.270606,432914.762855,2.910979
174.000000,508273.231161,432920.304834,4.519976
175.000000,508269.861532,432927.504978,6.019730
176.000000,508265.804219,432936.762226,7.565198
177.000000,508261.349660,432947.301433,8.836257
178.000000,508256.841756,432957.828683,9.433252
179.000000,508252.164573,432967.168777,9.515607
180.000000,508247.798280,432975.764822,9.505694
181.000000,508242.975669,432985.301665,10.271303
182.000000,508237.765357,432994.303648,10.311877
183.000000,508232.402070,433004.417863,10.823130
184.000000,508226.886686,433015.708850,11.574893
185.000000,508221.088154,433027.699982,12.127447
186.000000,508215.126185,433039.920436,12.575208
187.000000,508208.783460,433051.696620,12.689779
188.000000,508203.058430,433062.931120,12.407822
189.000000,508196.779052,433074.686144,12.704305
190.000000,508190.572174,433086.651594,12.892250
191.000000,508184.048700,433098.794893,13.106332
192.000000,508177.395203,433110.395343,13.020352
193.000000,508170.434522,433122.800227,13.408055
194.000000,508164.004872,433134.401708,13.012112
195.000000,508157.862082,433146.139961,12.925244
196.000000,508152.429352,433156.777413,12.337451
197.000000,508147.088826,433166.516774,12.077027
198.000000,508141.754596,433174.707143,11.511829
199.000000,508136.218017,433182.669718,11.233178
200.000000,508130.751755,433191.638662,11.403755
201.000000,508125.820714,433201.063278,11.346959
202.000000,508120.963224,433210.201738,11.047228
203.000000,508115.910099,433220.356487,11.444129
204.000000,508111.487027,433232.053770,11.893152
205.000000,508107.482127,433242.863407,11.447171
206.000000,508103.295292,433252.629712,11.043645
207.000000,508098.812784,433263.104151,11.246974
208.000000,508093.942859,433271.688921,10.553786
209.000000,508090.254674,433277.248819,8.960683
210.000000,508085.728587,433286.291020,10.081260
211.000000,508081.175862,433296.060464,10.475961
212.000000,508076.173408,433304.998331,10.211369
213.000000,508070.758837,433316.231194,11.226481
214.000000,508065.412055,433326.329479,11.041987
215.000000,508059.622898,433336.947391,11.370708
216.000000,508054.516787,433347.691821,11.297565
217.000000,508049.942599,433357.861096,10.881636
218.000000,508046.044364,433363.247941,8.680523
219.000000,508041.445366,433373.600857,10.203183
220.000000,508037.044064,433384.033522,10.311385
221.000000,508032.598499,433393.775367,10.122862
222.000000,508028.744798,433401.890211,9.295733
223.000000,508025.802078,433409.594717,8.807563
224.000000,508022.430152,433424.474139,10.957249
225.000000,508019.098193,433443.330070,12.530721
226.000000,508016.737651,433463.853260,13.318476
227.000000,508014.221696,433484.624004,13.613838
228.000000,508012.408810,433505.186827,13.580526
229.000000,508011.398707,433523.805995,12.739460
230.000000,508011.530057,433533.645209,9.492826
231.000000,508011.362391,433535.565859,5.862372
232.000000,508011.324297,433529.761039,1.762842
233.000000,508011.159110,433527.569984,2.200370
234.000000,508011.289535,433527.241966,2.475805
235.000000,508011.646296,433527.662211,2.471050
236.000000,508011.277254,433529.649970,2.943855
237.000000,508010.737622,433531.112593,2.632321
238.000000,508010.404861,433531.560556,2.059306
239.000000,508010.208618,433531.525983,1.580853
240.000000,508009.901382,433539.680803,4.232438
241.000000,508008.858859,433551.925618,5.778518
242.000000,508007.623993,433566.810758,7.033369
243.000000,508006.606110,433573.182441,4.417586
244.000000,508005.558090,433575.797481,2.867338
245.000000,508008.313313,433572.455375,0.369247
246.000000,508010.755943,433566.369118,-1.031623
247.000000,508012.749632,433556.482990,-2.621208
248.000000,508014.845182,433546.145596,-3.033480
249.000000,508016.338502,433537.187978,-2.574363
250.000000,508016.755699,433530.283149,-1.616562
251.000000,508016.953778,433524.779514,-0.924123
252.000000,508016.731472,433520.420347,-0.303601
253.000000,508015.566051,433516.682237,0.299937
254.000000,508013.951307,433512.156596,0.529598
255.000000,508013.476245,433504.437982,-0.378539
256.000000,508011.116147,433503.190221,2.291327
257.000000,508007.042201,433506.121464,4.492885
258.000000,508004.100976,433507.860713,4.050650
259.000000,508000.200849,433511.845299,5.124825
260.000000,507994.815659,433518.453383,6.594295
261.000000,507988.742633,433526.806312,7.810344
262.000000,507983.377090,433535.627731,8.269369
263.000000,507978.439610,433545.158122,8.798795
264.000000,507972.598942,433557.585637,10.506248
265.000000,507968.337518,433567.653234,9.463039
266.000000,507964.022400,433576.988929,9.056275
267.000000,507960.091356,433585.420153,8.397373
268.000000,507955.620982,433594.751965,8.912307
269.000000,507951.167884,433605.144326,9.450959
270.000000,507946.864611,433616.031908,9.786730
271.000000,507942.689739,433627.110407,10.038002
272.000000,507938.618782,433638.882492,10.487603
273.000000,507934.731168,433649.815329,10.393350
274.000000,507931.055422,433661.908373,10.916842
275.000000,507927.182405,433674.727525,11.373791
276.000000,507923.308526,433689.482960,12.341215
277.000000,507917.975788,433711.191600,15.577076
278.000000,507912.882338,433730.440627,14.960282
279.000000,507908.109869,433747.760821,14.451378
280.000000,507903.611067,433762.368467,13.074069
281.000000,507899.121448,433775.817232,12.662385
282.000000,507894.942825,433788.354128,12.444470
283.000000,507890.462242,433801.217440,12.679923
284.000000,507885.799582,433813.697816,12.707653
285.000000,507880.817329,433827.116827,13.231001
286.000000,507876.182847,433840.944091,13.427882
287.000000,507871.726846,433855.909445,13.363053
288.000000,507867.944110,433871.988361,13.563093
289.000000,507863.738081,433888.165522,13.640879
290.000000,507859.120514,433904.972619,14.183349
291.000000,507854.374432,433920.914716,14.150757
292.000000,507849.570590,433935.742516,13.882470
293.000000,507844.899470,433948.253258,12.980307
294.000000,507840.214045,433959.671569,12.437502
295.000000,507835.212218,433971.932474,12.876744
296.000000,507829.497735,433985.458021,13.873494
297.000000,507823.619593,434000.671826,15.057624
298.000000,507817.347312,434017.761464,15.943926
299.000000,507810.991298,434035.555621,16.381022
300.000000,507804.343765,434053.087676,16.596861
301.000000,507797.840752,434070.920733,16.879113
302.000000,507790.680270,434087.879154,16.905194
303.000000,507783.025513,434104.924357,17.159293
304.000000,507774.642455,434121.499912,17.319148
305.000000,507765.568610,434139.522836,18.152051
306.000000,507756.394173,434156.514278,18.043982
307.000000,507747.450384,434174.479071,18.362223
308.000000,507738.448237,434192.535797,18.447153
309.000000,507730.009501,434209.934017,18.090160
310.000000,507721.919585,434226.412062,17.618897
311.000000,507713.548739,434242.587113,17.440863
312.000000,507704.996934,434258.064769,17.106492
313.000000,507696.533153,434271.429142,16.055785
314.000000,507688.186306,434285.357556,15.901064
315.000000,507679.649313,434298.721977,15.523205
316.000000,507671.252501,434310.035938,14.368356
317.000000,507663.287224,434319.658916,13.320627
318.000000,507654.777618,434329.806438,13.213494
319.000000,507646.928812,434339.552485,12.540905
320.000000,507639.567695,434349.158093,12.040629
321.000000,507633.243160,434359.132008,11.658018
322.000000,507627.477484,434367.926323,10.840645
323.000000,507622.516509,434377.029926,10.615992
324.000000,507617.629055,434386.584803,10.482227
325.000000,507614.064314,434394.514683,9.292610
326.000000,507612.266582,434400.903826,7.851687
327.000000,507610.913137,434404.020409,5.936077
328.000000,507609.594815,434406.549760,4.978575
329.000000,507608.589475,434409.004432,4.387143
330.000000,507607.729950,434411.513894,3.867620
331.000000,507607.097262,434412.880948,2.871552
332.000000,507606.864437,434411.203365,0.745607
333.000000,507606.646240,434409.857014,0.331490
334.000000,507606.084434,434408.509905,0.073829
335.000000,507605.549327,434408.387924,0.341997
336.000000,507605.136613,434408.956027,0.589395
337.000000,507604.571927,434409.190972,0.391485
338.000000,507604.163049,434409.825132,0.502000
339.000000,507603.609858,434410.832864,1.101881
340.000000,507602.697299,434412.632421,1.721556
341.000000,507600.356663,434413.645701,2.175687
342.000000,507595.815087,434415.469066,4.086899
343.000000,507588.658225,434419.424716,6.700440
344.000000,507579.025718,434422.313325,8.419240
345.000000,507567.813395,434425.330841,9.757775
346.000000,507556.027700,434427.522510,10.288997
347.000000,507544.946887,434428.972513,10.336104
348.000000,507534.079967,434430.257919,10.307334
349.000000,507523.519861,434431.587849,10.128824
350.000000,507513.885900,434432.571151,9.603565
351.000000,507505.220367,434433.711452,9.136698
352.000000,507496.410065,434435.603977,9.013321
353.000000,507488.023536,434438.411523,8.925400
354.000000,507480.406075,434442.077027,8.603368
355.000000,507473.831044,434446.651307,7.816582
356.000000,507469.911932,434452.406471,6.699371
357.000000,507471.284021,434462.929428,6.745382
358.000000,507477.301655,434473.057405,7.545920
359.000000,507484.595155,434484.200581,9.959345
360.000000,507494.456186,434493.880577,10.617103
361.000000,507505.984155,434497.485373,9.239417
362.000000,507517.583755,434498.540173,9.201353
363.000000,507529.857072,434498.092824,9.919487
364.000000,507543.399044,434497.209776,11.187324
365.000000,507557.467010,434495.178992,12.132414
366.000000,507572.014106,434492.754473,12.814667
367.000000,507586.300884,434489.741201,13.056847
368.000000,507600.248973,434486.467013,13.410067
369.000000,507615.158130,434482.035264,14.237340
370.000000,507630.511010,434477.134863,14.955783
371.000000,507646.001351,434471.690186,15.636775
372.000000,507661.970195,434466.317054,16.167038
373.000000,507678.713729,434460.761660,16.771060
374.000000,507695.135532,434455.569141,17.014025
375.000000,507711.939574,434450.316670,17.223048
376.000000,507728.892636,434445.399174,17.548226
377.000000,507745.920528,434440.343630,17.601124
378.000000,507762.810075,434435.641751,17.360988
379.000000,507779.744043,434430.770131,17.468360
380.000000,507796.769785,434425.736172,17.686904
381.000000,507813.797659,434420.584084,17.748264
382.000000,507830.856639,434414.986318,17.857832
383.000000,507847.828127,434409.570101,17.761082
384.000000,507864.769273,434404.269970,17.794694
385.000000,507881.691950,434399.060436,17.690510
386.000000,507898.681162,434393.532898,17.715769
387.000000,507915.034900,434388.301193,17.355048
388.000000,507931.600398,434383.569217,17.311882
389.000000,507948.574147,434378.353967,17.681634
390.000000,507966.227851,434373.518517,18.181954
391.000000,507983.657693,434368.669129,18.214887
392.000000,508000.820294,434363.809315,17.993583
393.000000,508018.345046,434359.267559,17.982362
394.000000,508034.989018,434354.695389,17.561792
395.000000,508051.767622,434349.993512,17.516062
396.000000,508068.607035,434345.608880,17.410882
